county_name,precinct_code,race_description,cand_name,cand_tot_votes
ADAIR,10001,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,53
ADAIR,10001,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,112
ADAIR,10002,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,59
ADAIR,10002,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,87
ADAIR,10003,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,23
ADAIR,10003,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,46
ADAIR,10004,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,45
ADAIR,10004,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,58
ADAIR,10005,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,26
ADAIR,10005,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,63
ADAIR,10006,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,95
ADAIR,10006,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,134
ADAIR,10007,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,126
ADAIR,10007,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,171
ADAIR,10008,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,53
ADAIR,10008,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,107
ADAIR,10010,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,26
ADAIR,10010,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,47
ADAIR,10011,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,43
ADAIR,10011,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,46
ADAIR,10012,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,75
ADAIR,10012,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,124
ADAIR,10013,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,77
ADAIR,10013,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,95
ADAIR,10014,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,100
ADAIR,10014,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,AGAINST THE PROPOSAL - NO,116
ADAIR,10016,STATE QUESTION NO. 802 INITIATIVE PETITION NO. 419,FOR THE PROPOSAL - YES,45
